MlsNumber,PublicRemarks,Bathrooms,Bedrooms,InteriorSize,Type,Ammenities,Address,Longitude,Latitude,PostalCode,NeighbourHood,Price,PropertyType,ParkingSpace,OwnershipType,Appliances,FlooringType,BasementType,HeatingType,LandSize,AmmenitiesNearBy,PropertyTax,ZoningDescription,LowResPhoto
"S5133117","Welcome To 151 Little Ave! Outstanding 3 Bedroom, 2 Washroom Detached Home With Finished Basement Located In Desirable Allandale Heights. Great For Families And/Or Commuters! Modern Style Kitchen Overlooking Your Backyard Oasis! Garage Access To Inside With Potential For In-Law Suite! Move In Ready!**** EXTRAS **** All Existing: Light Fixtures, Window Coverings, Fridge, Stove, Dishwasher, Washer And Dryer. Large Fully Fenced Backyard With Gorgeous Garden! Only 2 Minutes From The 400! Close To Schools, Shopping And Parks! (28006827)","2","3",,"House",,"151 LITTLE AVE|Barrie, Ontario L4N6L6","-79.6792722","44.3627691","L4N6L6","Allandale Heights","$629,900 ","Single Family","5","Freehold",,,"N/A (Finished)","Baseboard heaters (Electric)","50 x 110 FT","Schools","$3,678",,"https://cdn.realtor.ca/listing/TS637502930320500000/reb82/highres/7/s5133117_1.jpg"
"S5132798","Detached Home In Highly Sought After South End Neighbourhood Close To Go Station, Highway 400, Shopping & Dining. Built In 2010 This Single Owner, Detached 3 Bedroom 4 Bath Home With A Finished Basement Will Not Last Long.**** EXTRAS **** Dishwasher, Dryer, Refrigerator, Stove, Washer (28004389)","4","3",,"House",,"138 SUN KING CRES|Barrie, Ontario L4M0E6","-79.6122535","44.3528053","L4M0E6","Innis-Shore","$599,900 ","Single Family","5","Freehold",,,"Full (Finished)","Forced air (Natural gas)","33 x 112 FT",,"$4,284.18",,"https://cdn.realtor.ca/listing/TS637502694470700000/reb82/highres/8/s5132798_1.jpg"
"S5132987","Fabulous Semi-Detached In Sought After South Barrie. Walking Distance Supermarket, Transit And Community Centre. Great 3-Bedroom Layout House With Recently Finished Basement And 4 Washrooms! Big Private Backyard And Extra-Wide Driveway For Easy Two Car Parking.  Furnace (2018), A/C (2018), Newer Carpet For Staircase And Bedrooms. Remaining 5Yr Warranty For Roof (2016).**** EXTRAS **** Includes All Elf's, Fridge, Stove, B/I Dishwasher, Washer And Dryer, Window Coverings, Water Softener (As Is). (28004580)","4","3",,"House",,"99 LESLIE AVE|Barrie, Ontario L4N9P2","-79.7099178","44.3410561","L4N9P2","Holly","$549,900 ","Single Family","2","Freehold",,,"Full (Finished)","Forced air (Natural gas)","29.53 x 114.82 FT",,"$3,594.36",,"https://cdn.realtor.ca/listing/TS637502695841370000/reb82/highres/7/s5132987_1.jpg"
"S5132756","Welcome Home! This Lovely 2+2 Bdrm Bungalow Is In A Perfect Location In Barrie Close To All City Amenities. Backing On To Farm Land With Two Walk Outs To A Deck Where You Can Enjoy Your Private Yard With New Shed. Updated Open Concept Kitchen Includes New Custom Cupboards, Quartz Counter Tops, Backsplash, Industrial Style Sink And Faucet, New S/S Stove,Fridge, Dishwasher And Microwave Mostly New Doors And Hardware Throughout.**** EXTRAS **** Laundry Area With Barn Door.Custom Address Lettering, Driveway Sealed, Landscaping Done To Front Yard Inclusions: Fridge, Stove, Microwave And Dishwasher, Washer, Dryer, Hot Tub And Shed (28004345)","2","4",,"House",,"108 HANMER ST W|Barrie, Ontario L4N7T6","-79.7200142","44.411384","L4N7T6","West Bayfield","$599,900 ","Single Family","4","Freehold",,,"Full (Finished)","Forced air (Natural gas)","49 x 109 FT","Public Transit","$3,836.40",,"https://cdn.realtor.ca/listing/TS637502694467600000/reb82/highres/6/s5132756_1.jpg"
"40074192","Welcome Home! This lovely 2+2 bdrm bungalow is in a perfect location in Barrie close to all city amenities and just as close to the ski hills! Backing on to farm land with two walk outs to a deck where you can enjoy your private yard with new shed and hot tub. Updated open concept kitchen includes new custom cupboards, quartz counter tops, backsplash, industrial style sink and faucet, new s/s stove,fridge, dishwasher and microwave. Mostly new doors and hardware, throughout, freshly painted. Primary bedroom with new accent wall and paint has walkout to deck right to the hot tub! New laundry area with barn door. Newly added 4th bedroom to the basement. Custom address lettering, driveway sealed, landscaping done to front yard. (62944959)","2","2 + 2","1084.0000","House",,"108 HANMER Street W|Barrie, Ontario L4N7T6","-79.720067","44.411449","L4N7T6",,"$599,900 ","Single Family","4","Freehold","Dishwasher, Dryer, Refrigerator, Stove, Washer, Hot Tub",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Public Transit",,"R2","https://cdn.realtor.ca/listing/TS637502259828570000/reb17/highres/2/40074192_1.jpg"
"N5132319","This Stunning Bungalow In Innisfil Is The Perfect Investor, Starter Or Downsizer. It's Charm Hits You From The Minute You Pull In The Driveway! Featuring Entry/Mudroom W/ Storage, Open Concept Main Living Area W/ Beautiful Custom Built Entertainment Unit Framing The Cozy Gas F/P, Rich Dark Kitchen Cabinetry & Granite Counters, & Breakfast Bar. Large Windows & Pot Lights Throughout. 2Bdrms, & 4Pc Bath!**** EXTRAS **** Included - Fridge, Stove, Dishwasher, Microwave, Washer, Dryer, Kitchen Bar Stools Exclude- Tenants Belongings, Tvs, Hot Tub (Hot Tub Is Owned By Tenant, They Are Willing To Sell Private Deal) Property Extends Beyond The Fenced Area. (28002380)","1","2",,"House",,"2314 SOMERS BLVD|Innisfil, Ontario L9S2E8","-79.5376433","44.3269043","L9S2E8","Alcona","$589,000 ","Single Family","3","Freehold",,,"Crawl space","Baseboard heaters (Electric)","90 x 169.83 FT",,"$2,719.02",,"https://cdn.realtor.ca/listing/TS637502200272700000/reb82/highres/9/n5132319_1.jpg"
"S5131928","Top Reasons You Will Love This Home. Large Lot 60 Ft X 253 Ft Located In Prime Location Yonge St. Close To Schools, Parks, Shopping, Go Train Station, All Amenities. Many Interior Updates. New Furnace 2018, New Roof 2016, New Washer/Dryer 2020, 200 Amp Panel, 60 Amp In Detached Garage. A Great Opportunity Available.**** EXTRAS **** Incl: Fridge, Stove, Dishwasher, Washer/Dryer, All Window Coverings, All Elf's (28000168)","1","2",,"House",,"945 YONGE ST|Barrie, Ontario L9J0E6","-79.6309856","44.350902","L9J0E6","Painswick South","$499,000 ","Single Family","7","Freehold",,,"Partial (Unfinished)","Forced air (Natural gas)","60 x 253 FT","Public Transit, Schools","$2,820",,"https://cdn.realtor.ca/listing/TS637502117777300000/reb82/highres/8/s5131928_1.jpg"
"N5131688","Adorable Bungalow Steps To The Beach! Well Optimized Home With Private Beach Access! Close To All Amenities. Mature Lot With Trees & Fenced Yard With Shed & Workshop. Open Concept Floor Plan With Loads Of Natural Light, & Entrances At The Front, Back, & Side Of The Home! Laminate & Tile Flooring, Vaulted Ceiling In Foyer, Newer Furnace & Shingles. Don't Miss Out On This Cozy #hometostay! Visit Our Site For More Info, Photos, & A 3D Tour!**** EXTRAS **** Inclusions: Dryer, Refrigerator, Stove, Washer // Exclusions: Tenants Personal Belongings // Rental: Hot Water Heater (27999848)","1","2",,"House",,"2004 INGLEWOOD DR|Innisfil, Ontario L9S1Z1","-79.5420131","44.3120502","L9S1Z1","Alcona","$619,900 ","Single Family",,"Freehold",,,"Crawl space","Forced air (Natural gas)","49.9 x 150.46 M","Park, Schools","$2,270.84",,"https://cdn.realtor.ca/listing/TS637502060984000000/reb82/highres/8/n5131688_1.jpg"
"40073090","Detached home in highly sought after south end neighbourhood close to Go station, highway 400, shopping & dining. Built in 2010 this single owner, detached 3 bedroom 4 bath home with a finished basement will not last long. (62940763)","4","3 + 0","1631.0000","House",,"138 SUN KING Crescent|Barrie, Ontario L4M0E5","-79.61224277","44.35284824","L4M0E5",,"$599,900 ","Single Family","5","Freehold","Dishwasher, Dryer, Refrigerator, Stove, Water softener, Washer",,"Full (Finished)","Forced air","under 1/2 acre","Golf Nearby, Place of Worship, Playground, Public Transit, Schools, Shopping",,"R4","https://cdn.realtor.ca/listing/TS637502044511230000/reb17/highres/0/40073090_1.jpg"
"S5131701","Top 5 Reasons You Will Love This Home: 1) Well-Maintained And Sunlit Home 2) Spacious Main Level With An Open-Concept Kitchen And Breakfast Area With A Sliding Glass Door Walkout Leading To The Backyard 3) Fully-Finished Basement Offering Additional Living And Entertaining Space 4) Fully-Fenced Backyard Equipped With A Firepit Area, The Included Hot Tub, And A Patio 5) Within Close Proximity To A Vast Selection Of Amenities, Local Schools, And Much More.**** EXTRAS **** Inclusions: Fridge (X2), Stove, Dishwasher, Microwave, Washer, Dryer, Window Coverings (Blinds), Hot Tub (27999935)","4","3",,"House",,"5 TRASK DR|Barrie, Ontario L4N5R3","-79.7187965","44.3578395","L4N5R3","Ardagh","$599,999 ","Single Family","3","Freehold",,,"Full (Finished)","Forced air (Natural gas)","40.55 x 129.6 FT","Park, Schools","$4,442",,"https://cdn.realtor.ca/listing/TS637502061458400000/reb82/highres/1/s5131701_1.jpg"
"S5132051","Recently Updated 2,332 Sqft Back Split, On A Huge 82' X 150' Lot With 3 Bedrooms, And 2.5 Baths. Enter Into The Large Foyer Overlooking The Great Room. Step Down Into The Spacious Eat-In Kitchen With Stone Backsplash & Dining Area, Main Floor Laundry & An Office With A Convenient 2Pc Bath. Second Floor Has Been Freshly Painted. Brand New Ensuite With Granite Counters. Laminate & Stone On The Main 2 Floors. Home Has 2 Sep Bsmnt Areas, Good For Storage......**** EXTRAS **** ....With Recently Updated Electrical. Huge Private Yard Has A Shed & Tons Of Parking For Your Rv, Trailer Or Storage. Incl: Dishwasher, Dryer, Range Hood, Refrigerator, Washer (28000295)","3","4",,"House",,"202 COX MILL RD|Barrie, Ontario L4N4G5","-79.6514156","44.3594628","L4N4G5","Painswick North","$624,900 ","Single Family",,"Freehold",,,"Crawl space (Unfinished)","Forced air (Natural gas)","82 x 150 FT ; 161.15 X 87.36 X 151.29 X 82.56","Park, Public Transit","$3,500",,"https://cdn.realtor.ca/listing/TS637502082544170000/reb82/highres/1/s5132051_1.jpg"
"40069202","Beautifully updated Grandview bungalow backing on greenspace!  This home is a showstopper with a full kitchen renovation including upgraded stainless-steel appliances, water filtration, soft close doors, quartz countertop, and backsplash (2019). Additional updates include main bathroom renovation with heated floors, pot lights throughout main floor, replacement of all flooring of main floor (except bedrooms), painting of the entire interior of the home, refinishing of staircase to basement and sprayed stucco ceiling to make smooth (2019).  Truly a turnkey home in the highly sought-after neighbourhood, just move in and enjoy. (62936539)","2","3 + 2",,"House",,"113 GORE Drive|Barrie, Ontario L4N0A8","-79.72227843","44.35792359","L4N0A8",,"$650,000 ","Single Family","3","Freehold","Dishwasher, Dryer, Refrigerator, Stove, Washer",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Public Transit, Schools",,"RES","https://cdn.realtor.ca/listing/TS637502008111000000/reb17/highres/2/40069202_1.jpg"
"40060330","Recently updated 2,332 Sqft back split, on a huge 82' x 150' lot with 3 bedrooms, and 2.5 baths. Enter into the large foyer overlooking the great room. Step down into the spacious eat-in kitchen with stone backsplash & dining area, main floor laundry & an office with a convenient 2pc bath. Second floor has been freshly painted. Brand new ensuite with granite counters. Laminate & Stone on the main 2 floors. Home has 2 separate basement areas, good for storage with recently updated electrical. Huge private yard has a shed & tons of parking for your RV, trailer or storage. (62927775)","3","3 + 0",,"House",,"202 COX MILL Road|Barrie, Ontario L4N4G5","-79.65140018","44.35947467","L4N4G5",,"$624,900 ","Single Family","8","Freehold","Dishwasher, Dryer, Refrigerator, Water meter, Washer, Hood Fan",,"Crawl space (Unfinished)","Forced air, (Natural gas)","under 1/2 acre","Park, Public Transit, Shopping",,"RES,","https://cdn.realtor.ca/listing/TS637502019926130000/reb17/highres/0/40060330_1.jpg"
"40073268","Top 5 Reasons You Will Love This Home: 1) Well-maintained and sunlit home 2) Spacious main level with an open-concept kitchen and breakfast area with a sliding glass door walkout leading to the backyard 3) Fully-finished basement offering additional living and entertaining space 4) Fully-fenced backyard equipped with a firepit area, the included hot tub, and a patio 5) Within close proximity to a vast selection of amenities, local schools, and much more. 1,944 fin.sq.ft. Age 18. For info, photos & video, visit our website. (62940001)","4","3 + 0","1473.0000","House",,"5 TRASK Drive|Barrie, Ontario L4N5R3","-79.7186463","44.35779806","L4N5R3",,"$599,999 ","Single Family","3","Freehold","Dishwasher, Dryer, Microwave, Stove, Washer, Hot Tub",,"Full (Finished)","Forced air, (Natural gas)","0.113 ac|under 1/2 acre","Park, Schools",,"R3","https://cdn.realtor.ca/listing/TS637501947934470000/reb17/highres/8/40073268_1.jpg"
"40073638","ADORABLE BUNGALOW STEPS TO THE BEACH! Well optimized home boasting private beach access! Commuters will relish the easy access to commuter routes, while outdoor enthusiasts will enjoy the close proximity to the lake, parks, and the beach! Also close by are restaurants, shopping, schools, and the YMCA. Nestled on a mature, treed lot, and showcasing an open concept floor plan with loads of natural light flooding in through large windows. Convenient entrances at the front, back, and side of the home! Laminate and tile flooring throughout, and a welcoming foyer with a vaulted ceiling adorned with wooden planks. Fenced yard with deck, workshop, and shed. Newer shingles and a newer furnace will provide peace of mind for years to come. Dont miss out on this cozy #HomeToStay! Visit our site for more info, photos, and a 3D tour! (62940107)","1","2 + 0",,"House",,"2004 INGLEWOOD Drive|Innisfil, Ontario L9S1Z1","-79.54159475","44.31176392","L9S1Z1",,"$619,900 ","Single Family","10","Freehold","Dryer, Refrigerator, Stove, Washer",,"Crawl space (Unfinished)","Forced air, (Natural gas)","under 1/2 acre","Beach, Park, Schools",,"R1","https://cdn.realtor.ca/listing/TS637501918792400000/reb17/highres/8/40073638_1.jpg"
"40073569","Welcome to 2314 Somers Blvd. Calling all INVESTORS, NEW BUYERS or buyers looking to DOWNSIZE!!  Its charm hits you from the minute you pull in the driveway with this large lot that could be divided into two! Featuring a convenient entry/mudroom with room for storage, a fantastic open concept main living area with beautiful custom built entertainment unit framing the cozy gas fireplace, rich dark kitchen cabinetry with granite counters, ceramic tiles and breakfast bar. Large, bright windows and pot lights throughout. Two bedrooms, a full 4pc bath and great closet space! The yard space is incredible with a mature treed back lot-line for privacy, a fully fenced area of the backyard which is great for keeping a close watch on children or pets, with the rest of the yard extending well past the fenced area. A fully detached garage with heated storage area at back and large garden shed for even more storage. Just a short walk to the shores of Lake Simcoe, this home is an absolute gem! (62939817)","1","2 + 0","774.0000","House",,"2314 SOMERS Boulevard|Innisfil, Ontario L9S2E8","-79.53784178","44.32681832","L9S2E8",,"$589,000 ","Single Family",,"Freehold","Dishwasher, Dryer, Refrigerator, Stove, Washer, Microwave Built-in",,"Crawl space (Unfinished)","Baseboard heaters","1/2 - 1.99 acres","Beach, Park, Playground, Schools",,"Residential","https://cdn.realtor.ca/listing/TS637501884361300000/reb17/highres/9/40073569_1.jpg"
"N5129991","Wonderful Neighbourhood Just A 10-Minute Walk To Simcoe Beach!!  Fenced, Corner Lot And Tons Of Potential To Turn This 3 Bedroom Home Into Your Dream Home. 1240 Sq Ft Total Living Space, Renovated Living & Dining Room With Hardwood Floors & Gas Fireplace. Lots Of Windows To Let In The Natural Light. 664Sqft 2.5 Car Cedar Siding Insulated Garage. Well Operable For Gardening. 220Amp. Roof 2012.**** EXTRAS **** Incl: All Electric Light Fixtures; All Window Coverings; Stacked Kenmore Washer/Dryer, Stainless Steel Anama Stove, Stainless Steel Ge Fridge; Work Bench & Cabinetry In Garage; Ask La About Additional Building Materials Incl. (27992317)","1","3",,"House",,"1012 WESTMOUNT AVE|Innisfil, Ontario L9S1T6","-79.5483339","44.3091078","L9S1T6","Alcona","$599,000 ","Single Family","6","Freehold",,,"Crawl space",,"108.5 x 200 FT",,"$4,210.66",,"https://cdn.realtor.ca/listing/TS637499624163070000/reb82/highres/1/n5129991_1.jpg"
"S5129733","Surprisingly Spacious 2000+ Sq Ft (Incl Bsmnt) Of Total Finished Space W/ 3 Bdrm On Main + 3 Bdrm On Lower & 3 Baths.  A Must See Home W/ Loads Of Natural Light Open Concept. Lge Private Bkyd (33X165).  Bright High Bsmnt W/ Great In-Law Or Income Potential. Fantastic Location Walk To Dwtn, Beach/Waterfront, Park, Public Transit, Shopping, Restaurants, Go Station, Short Drive To Hwy 400.**** EXTRAS **** Ss Fridge, Stove, B/I Micrwave, Brkfst Bar+3 Chrs, Washer & Dryer, White Fridge In Bsmt, Furnace(Owned),  Excl:  Upright Freezer,  All Win Covrgs & Rods, Tv Wall Mount In Rec Rm,  Light Fixtures:--Lvg, Dining & Brkfst Bar (Will Replace). (27992072)","3","3 + 3",,"House",,"53 SANFORD ST|Barrie, Ontario L4N3C3","-79.6948949","44.3804791","L4N3C3","Sanford","$550,000 ","Single Family",,"Freehold",,,"Full (Finished)","Forced air (Natural gas)","33.01 x 165 FT","Park, Public Transit","$3,391.39",,"https://cdn.realtor.ca/listing/TS637499648951400000/reb82/highres/3/s5129733_1.jpg"
"S5129733","Surprisingly Spacious 2000+ Sq Ft (Incl Bsmnt) Of Total Finished Space W/ 3 Bdrm On Main + 3 Bdrm On Lower & 3 Baths.  A Must See Home W/ Loads Of Natural Light Open Concept. Lge Private Bkyd (33X165).  Bright High Bsmnt W/ Great In-Law Or Income Potential. Fantastic Location Walk To Dwtn, Beach/Waterfront, Park, Public Transit, Shopping, Restaurants, Go Station, Short Drive To Hwy 400.**** EXTRAS **** Ss Fridge, Stove, B/I Micrwave, Brkfst Bar+3 Chrs, Washer & Dryer, White Fridge In Bsmt, Furnace(Owned),  Excl:  Upright Freezer,  All Win Covrgs & Rods, Tv Wall Mount In Rec Rm,  Light Fixtures:--Lvg, Dining & Brkfst Bar (Will Replace). (27992072)","3","3 + 3",,"House",,"53 SANFORD ST|Barrie, Ontario L4N3C3","-79.6948949","44.3804791","L4N3C3","Sanford","$550,000 ","Single Family",,"Freehold",,,"Full (Finished)","Forced air (Natural gas)","33.01 x 165 FT","Park, Public Transit","$3,391.39",,"https://cdn.realtor.ca/listing/TS637499648951400000/reb82/highres/3/s5129733_1.jpg"
"40072984","Spacious & centrally located! Lovely home in Barrie's sought-after east end on a quiet street. 4-level side split offers 5 bedrooms & 3 bathrooms including a main level master en-suite with a W/O to patio. Open concept living room w/ bay window, dining room and kitchen with Brand new S/S appliances, gas stove, extra storage/pantry and W/O to deck. 4 good-sized bedrooms and 4-piece washroom on second level. ALL bathrooms have been updated. Fully fenced backyard with privacy fence for outdoor entertaining or hot tub. Zoning allows for room rentals. In-law suite capability. Close to Georgian College, RVH hospital, shopping centres and parks. Come and see all that this home has to offer! (62934375)","3","4 + 1","1800.0000","House",,"13 GLENECHO Drive|Barrie, Ontario L4M4J2","-79.66382326","44.40784142","L4M4J2",,"$599,000 ","Single Family","3","Freehold","Central Vacuum, Dishwasher, Dryer, Refrigerator, Water softener, Washer, Microwave Built-in, Gas stove(s)",,"Partial (Partially finished)",,"under 1/2 acre","Beach, Hospital, Park, Place of Worship, Public Transit, Schools, Shopping",,"RES","https://cdn.realtor.ca/listing/TS637499488525500000/reb24/highres/4/40072984_1.jpg"
"N5129002","Exceptional Family Home Backing Onto Beautiful Ep Land! Link Home Centrally Located Mins From Parks, Trails, Shopping & A School! Main Floor With New Scratchproof, Waterproof Flooring, A Wood Fp & W/O To Large Private Deck & Fenced Yard! 4 Beds Including Primary With A Barn Board Accent Wall! Fin Basement! Irrigation System In The Front & Back! Start Your Homeownership Journey With This Impeccable #hometostay! Visit Our Site For More Info, Photos, &A 3D Tour!**** EXTRAS **** Inclusions: Built-In Microwave, Carbon Monoxide Detector, Dishwasher, Dryer, Gas Stove, Refrigerator, Smoke Detector, Washer, Window Coverings // Exclusions: Wall Mounted Tvs // Rental: Hwt-Gas (27989735)","3","4",,"House",,"2202 CHALMERS CRES|Innisfil, Ontario L9S1Y6","-79.564317","44.3144716","L9S1Y6","Alcona","$649,000 ","Single Family","3",,,,"Full (Finished)","Forced air (Natural gas)","29.53 x 122.8 FT","Park, Schools","$3,466.02",,"https://cdn.realtor.ca/listing/TS637499457583970000/reb82/highres/2/n5129002_1.jpg"
"S5129363","Absolutely Amazing Value With This Beautifully Renovated Bungalow On A 50X130 Foot Lot Backing Onto A Forest, Steps Away From Lake Simcoe! Highly Desirable Location In Oro-Medonte & Enjoy The Deeded Access To A Private Resident-Only Beach With 100Ft Of Waterfront Frontage! Home Has Been Recently Renovated With New Flooring, Kitchen, Bathrooms, And Paint. Enjoy A Fully Heated And Serviceable Bunkie In The Backyard! Tons Of Potential With This Property!**** EXTRAS **** New Fridge, Stove, Dishwasher Reverse Osmosis Water System In Kitchen. Washer & Dryer. Light Fixtures & Window Coverings. (27990221)","1","2",,"House",,"22 PARK VIEW AVE|Oro-Medonte, Ontario L0L2E0","-79.5368459","44.4290136","L0L2E0","Rural Oro-Medonte","$499,900 ","Single Family",,"Freehold",,,,,"50 x 130 FT","Marina, Park","$1,289",,"https://cdn.realtor.ca/listing/TS637499477451170000/reb82/highres/3/s5129363_1.jpg"
"S5128867","Excellent Home For First-Time Buyers In A Sought-After Location! Situated In Barrie's Sought-After South End, Mins From Amenities & Hwy 400 Access! Beautiful Open-Concept Interior Showcases A Well-Appointed Kitchen & A Living Room With A Gas Fp & W/O! Bonus Living Space In The Finished Basement! Spend Warmer Months In The Private Backyard! Your Homeownership Journey Begins With This Wonderful #hometostay! Visit Our Site For More Info, Photos, & A 3D Tour!**** EXTRAS **** Incl: Dishwasher, Dryer, Garage Door Opener, Stove, Washer, Window Coverings. Rental: Hot Water Heater. (27989708)","2","3",,"House",,"42 RUNDLE CRES|Barrie, Ontario L4N8E7","-79.7230078","44.3239189","L4N8E7","Holly","$579,000 ","Single Family","3","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","39.37 x 114.83 FT ; Approx As Per Geo","Park, Public Transit, Schools","$3,533.85",,"https://cdn.realtor.ca/listing/TS637499457919030000/reb82/highres/7/s5128867_1.jpg"
"40071927","Lovely 3 bedroom, 3 bathroom end unit link home features many upgrades. Kitchen offers gorgeous granite countertops, refinished cabinets and glass tile backsplash. Open concept design, living room features hardwood flooring & cozy gas fireplace.  Master Bedroom offers a walk-in closet beautifully updated 4pc ensuite Bath. Ceiling fans in all bedrooms, updated main Bath w quartzite countertop, new flooring in bedrooms & hall. Convenient main floor laundry & inside entry to garage.  New shingles & front entry door in 2018. Spacious, fully fenced back yard with large gate to allow storage for your boat or trailer and lots of yard for a trampoline or playset.  Oversized single garage has 240 electrical wired in. This fantastic home is waiting for your family to call it their own!  Shows beautifully! (62932054)","3","3 + 0","1453.0000","House",,"46 VILLERS Street|Barrie, Ontario L4N0X2","-79.73027927","44.37833507","L4N0X2",,"$629,900 ","Single Family","5","Freehold","Dishwasher, Dryer, Refrigerator, Water meter, Washer, Hood Fan, Window Coverings",,"Full (Partially finished)","Forced air, (Natural gas)","under 1/2 acre","Park, Public Transit",,"RES","https://cdn.realtor.ca/listing/TS637499490122670000/reb17/highres/7/40071927_1.jpg"
"40072907","Absolutely Amazing Value With This Beautifully Renovated Bungalow On A 50X130 Foot Lot Backing Onto A Forest, Steps Away From Lake Simcoe! Highly Desirable Location In Oro-Medonte & Enjoy The Deeded Access To A Private Resident-Only Beach With 100Ft Of Waterfront Frontage! Home Has Been Recently Renovated With New Flooring, Kitchen, Bathrooms, And Paint. Enjoy A Fully Heated And Serviceable Bunkie In The Backyard! Tons Of Potential With This Property! Extras:New Fridge, Stove, Dishwasher Reverse Osmosis Water System In Kitchen. Washer & Dryer. Light Fixtures & Window Coverings. (62932763)","1","2 + 0",,"House",,"22 PARK VIEW Avenue|Oro-Medonte, Ontario L0L2E0","-79.537095","44.429197","L0L2E0",,"$499,900 ","Single Family",,"Freehold","Dryer, Refrigerator, Stove, Washer",,"None","Other","under 1/2 acre","Beach",,"SR","https://cdn.realtor.ca/listing/TS637499412945470000/reb17/highres/7/40072907_1.jpg"
"40072389","Bright End Unit Bungalow Nestled In The Private Enclave Of The Adult Lifestyle Townhomes of Allandale Villa. Main Features Gorgeous Hardwood Flooring & California Shutters In An Open Concept Kitchen/Living/Dining Room Layout, 4 Pc Bath & Master Bedroom. Hardwood Floors & Pot Lights In Basement W/Family Room, Spare Bedroom, Laundry, & 3 Pc Bath. Single Car Garage (62931962)","2","1 + 1",,"House",,"318 LITTLE Avenue Unit# 7|Barrie, Ontario L4N2Z6","-79.66763857","44.36662439","L4N2Z6",,"$519,000 ","Single Family","2","Condominium","Dryer, Stove, Washer",,"Full (Finished)","Forced air",,"Beach, Hospital, Park",,"RES","https://cdn.realtor.ca/listing/TS637499351106070000/reb85/highres/9/40072389_1.jpg"
"40072603","EXCEPTIONAL FAMILY HOME BACKING ONTO BEAUTIFUL EP LAND! Link home centrally located mins from parks, trails, shopping & a school! Main floor with new scratchproof, waterproof flooring, a wood FP & W/O to large private deck & fenced yard! 4 beds including primary with a barn board accent wall! Fin basement! Irrigation system in the front & back! Start your homeownership journey with this impeccable #HomeToStay! Visit our site for more info, photos, &a 3D tour! (62931708)","3","4 + 0","1400.0000","House",,"2202 CHALMERS Crescent|Innisfil, Ontario L9S1Y6","-79.56423125","44.31450008","L9S1Y6",,"$649,000 ","Single Family","3","Freehold","Central Vacuum - Roughed In, Dishwasher, Dryer, Refrigerator, Washer, Microwave Built-in, Gas stove(s), Window Coverings",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Beach, Schools",,"RS","https://cdn.realtor.ca/listing/TS637499283945100000/reb17/highres/3/40072603_1.jpg"
"40072597","EXCELLENT HOME FOR FIRST-TIME BUYERS IN A SOUGHT-AFTER LOCATION! Situated in Barries sought-after south end, mins from amenities & Hwy 400 access! Beautiful open-concept interior showcases a well-appointed kitchen & a living room with a gas FP & W/O! Bonus living space in the finished basement! Spend warmer months in the private backyard! Your homeownership journey begins with this wonderful #HomeToStay! Visit our site for more info, photos, & a 3D tour! (62931581)","2","3 + 0","1347.0000","House",,"42 RUNDLE Crescent|Barrie, Ontario L4N8E7","-79.72302269","44.32392374","L4N8E7",,"$579,000 ","Single Family","3","Freehold","Dishwasher, Dryer, Stove, Washer, Window Coverings",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Public Transit, Schools",,"R3","https://cdn.realtor.ca/listing/TS637499247834900000/reb17/highres/7/40072597_1.jpg"
"S5128454","Attention Young Families And Investors! This Bungalow Has Plenty Of Opportunity With A Fully Separate Entrance And Staircase To The Basement, And A Family-Friendly Layout And Flow. Located In One Of Barrie's Most Sought-After Neighbourhoods And Close To All Amenities, The Location Couldn't Get Any Better! Whether You Want To Put Your Personal Touches On This Home Or Create An Investment Opportunity, This Is The One!**** EXTRAS **** Fridge, Stove, Washer, Dryer (27987265)","3","2 + 2",,"House",,"47 GORE DR|Barrie, Ontario L4N8L6","-79.7183605","44.3561517","L4N8L6","Ardagh","$629,900 ","Single Family","6","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","47 x 121 FT",,"$4,926",,"https://cdn.realtor.ca/listing/TS637499239516370000/reb82/highres/4/s5128454_1.jpg"
"S5127985","Incredible Opportunity To Own This Cozy Home Located Less Than 4 Minutes From Minet's Point Beach. Amazing 300 Ft Deep Lot With Room To Grow Or Potential For Future Redevelopment. Enjoy The Peace And Quiet In The Private Backyard Paradise Surrounded By Large Mature Trees. Cottage Feel With City Amenities Around The Corner. Room Measurements Are Approximate. Buyer To Verify.**** EXTRAS **** Inclusions: Stove, Refrigerator And Washer/Dryer Will Be Replaced.   Exclusions: Tenant's Belongings. (27985557)","1","2",,"House",,"226 FOSTER DR|Barrie, Ontario L4N3X8","-79.6640306","44.3700474","L4N3X8","Innis-Shore","$599,000 ","Single Family",,"Freehold",,,"N/A (Unfinished)","Forced air (Natural gas)","60.01 x 300 FT",,"$2,983.69",,"https://cdn.realtor.ca/listing/TS637498878723700000/reb82/highres/5/s5127985_1.jpg"
